Company Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount,Stage,Year
Yap,2016,Chennai,Finance,Banking and payment products-focused API platform,"Madhusudanan R, Muthukumar and Prabhu",BeeNext,4500000.0,Series A,2020
ITILITE,2016,Bangalore,Hospitality,Platform for business travel,"Mayank Kukreja, Anish Khadiya","Greenoaks Capital, Vy Capital. Matrix Partners India",13000000.0,Series B,2020
Aavenir,2019,Ahmedabad,Technology,Source-to-Pay Software,Ashish Bhandari,Accel,2000000.0,Pre-series A,2020
Yellow Messenger,2016,Bangalore,Technology,It offers conversational chatbots,Raghavendra Kumar Ravinutala,"Lightspeed Venture Partners, Lightspeed India Partners.",20000000.0,Series B,2020
Wellthy Therapeutics,2016,Bangalore,Health,It offers a digital therapeutics service,Abhishek Shah,Saama Capital,4000000.0,Pre-series A,2020
FarEye,2016,New Delhi,Transport,"It enables businesses to execute, track, predict and oprimize the movements of goods","Gaurav Srivastava, Gautam Kumar, Kushal Nahata","M12, Honeywell venture capital, Eight Roads Venture",24500000.0,Series D,2020
BankBazaar,2008,Chennai,Finance,Online marketplace that gives customers instant customised offers on loans and credit cards,"Adhil Shetty, Arjun Shetty, Rati Shetty,","Amazon, Sequoia, Walden SKT Venture Fund",3800000.0,Series D,2020
Porter,2014,Mumbai,Transport,Logistics and fleet management,"Pranav Goel, Uttam Digga",Lightstone Global Funds,18370000.0,Series D,2020
Capital Float,2013,Bangalore,Finance,Online platform that provides working capital finance to SMEs,"Gaurav Hinduja, Sashank Rishyasringa","Amazon Inc`, Dinesh J Hinduja",4800000.0,Series F,2020
Vedantu,2016,Bangalore,Education,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Legend Capital,12500000.0,Series C,2020
Lido Learning,2016,Mumbai,Education,Online teaching service,Sahil Sheth,Bace Capital,7500000.0,Series B,2020
Swiggy,2014,Bangalore,Food & Beverages,Platform to order food online from restaurants and getting it delievered,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini","Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, Mirae Asset Capital Markets",43000000.0,Series A,2020
JusPay,2016,Bangalore,Finance,Online payment solutions,Vimal Kumar,Vostok Emerging Finance,21600000.0,Series B,2020
Fingpay,2016,Mumbai,Finance,Provides payment solutions,"Pratyush Halen, Anuraag Agrawal",IvyCap Ventures,3500000.0,Series A,2020
Recko,2017,Bangalore,Technology,The platform enables AI-powered reconciliation of digital transactions,"Prashant Border, Saurya Prakash Sinha",Vertex Ventures,6000000.0,Series A,2020
Camp K12,2016,Gurgaon,Education,It connects students with tutors online,"Anshul Bhagi, Sandeep Bhagi","Matrix Partners, SAIF Partners",4000000.0,Pre-series A,2020
MedGenome,2013,Bangalore,Health,Genetic diagnostic testing company,Sam Santhosh,LeapFrog Investments,55000000.0,Series D,2020
CureFit,2016,Bangalore,LifeStyle,"Integrated platform for food, fitness and meditation.","Mukesh Bansal, Ankit Nagori",Temasek,115000000.0,Series D,2020
Design X,2016,Noida,Technology,Builds IoT based products,Preet Arjun Singh,ThinkNext LLC,200000.0,Pre-series A,2020
Imstrong,2019,Bangalore,LifeStyle,It is an online and live video-streaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes.,"Dilip Kumar, Selvan Thamarai, Deepti Nair",Rainmatter,400000.0,Pre-series A,2020
QTalk,2016,Bangalore,Technology,Smart Phone Dialer,"Sagar Modi, Advaith Vishwanath","Accel India, Lightspeed Venture Partners",1600000.0,Pre-series A,2020
